object,string,value
Location,YOU_ARE_HERE,"You are in {self.strings['NAME']}"
Location,HERE,"{self.strings['YOU_ARE_HERE']}

You may:
{'\n'.join(['- ' + a.strings['NAME'] for a in self.local_actions])}
{'\n'.join(['- ' + a.strings['NAME'] for a in self.travel_actions])}"
Location,REGEX_NAME,{self.strings['NAME']}
TravelAction,REGEX,Travel( to)? {self.to.strings['REGEX_NAME']}
TravelAction,NAME,Travel to {self.to.strings['NAME']}
TravelEvent,EVENT_NOW,You travel to {self.to.strings['NAME']}.
TravelEvent,EVENT_PAST,You traveled from {self.from_.strings['NAME']} to {self.to.strings['NAME']]}.
Resource,YOU_HAVE,"You have {self.strings['VALUE', {'value': self.value}]}"
Player,ME,"{'\n'.join([r.strings['YOU_HAVE'] for r in self.resources.values()])}

{self.location.strings['YOU_ARE_HERE']}"
ResourceChangeEvent,EVENT_NOW,"{self.strings['CAUSE_NOW']}
{' '.join(['You get ' + r.strings['VALUE', {'value': v}] + '.' for r, v in self.resource_changes.items()])}"
ResourceChangeEvent,EVENT_PAST,"{self.strings['CAUSE_NOW']}
{' '.join(['You got ' + r.strings['VALUE', {'value': v}] + '.' for r, v in self.resource_changes.items()])}"
