object,string,value
config,INVALID_COMMAND,You can't do that... (Invalid command)

config,EXCEPTION_DuplicatePlayerError,Your character already exists!
config,EXCEPTION_InvalidPlayerError,You have not started the game. Try 'start'
config,EXCEPTION_ArgumentError,You can't do that with {e.value} (Invalid argument)
config,EXCEPTION_InsufficientResourceError,"You don't have enough {e.resource.resource.strings['NAME']}, {e.required} needed."
config,EXCEPTION_InsufficientItemsException,You don't have enough items to do that.
config,EXCEPTION_OfferNotFoundException,Your offer was not accepted.
config,EXCEPTION_ContainerCapacityException,You don't have enough space for these items.
config,EXCEPTION_NotEquippableException,{e.item.strings['NAME'].capitalize()} cannot be equipped.
config,EXCEPTION_ItemNotEquippedException,You don't have {e.item.strings['NAME']} equipped.
config,EXCEPTION_SlotNotEquippedException,You don't have anything equipped there.
