object,string,value
item_fish,NAME,fish
item_fish,REGEX_NAME,fish(es)?
item_fish,ON_USE,Use to increase action points regenration.
item_fish_bonus,NAME,Eaten fish
item_herbs,NAME,herbs
item_herbs,REGEX_NAME,herb(s)?
item_fishing_rod,NAME,fishing rod
item_fishing_rod,REGEX_NAME,(fishing )?rod
item_small_fur,NAME,small fur
item_small_fur,REGEX_NAME,small fur
item_linen_jacket,NAME,linen jacket
item_stones,NAME,stones
item_stones,ITS,These are some
item_stones,REGEX_NAME,(throwing )?stone(s)?
stone_throw,NAME,stone throw
itemslot_body,NAME,body
itemslot_hand,NAME,hand
item_rusty_spear,NAME,rusty spear
item_rusty_spear,REGEX_NAME,rusty spear(s)?
rusty_spear_attack,NAME,rusty spear
